date,equity,cash,positions,blocked_exits
2025-07-02,100787.12941911,189.12941911000235,1,0
2025-07-03,100636.932840522,404.93284052200033,1,0
2025-07-04,96224.81149834198,282.8114983419946,1,0
2025-07-07,94619.878322722,191.8783227219974,1,0
2025-07-08,95909.878322722,191.8783227219974,1,0
2025-07-09,95135.878322722,191.8783227219974,1,0
2025-07-10,95135.878322722,191.8783227219974,1,0
2025-07-11,94877.878322722,191.8783227219974,1,0
2025-07-14,94970.80258213202,282.80258213201887,1,0
2025-07-15,92007.56955921404,75.56955921404005,1,0
2025-07-16,93890.49770291804,20.497702918044524,1,0
2025-07-17,92725.63763325405,181.63763325405307,1,0
2025-07-18,91437.37768502206,1188.3776850220602,1,0
2025-07-21,91663.45831110205,126.45831110204745,1,0
2025-07-22,91273.84872499005,73.84872499004996,1,0
2025-07-23,91236.43497009404,93.43497009403654,1,0
2025-07-24,91392.09604527404,132.09604527404008,1,0
2025-07-25,90541.49902241405,113.49902241404925,1,0
2025-07-28,90759.10659878206,123.10659878204751,1,0
2025-07-29,93307.10659878205,123.10659878204751,1,0
2025-07-30,90759.10659878206,123.10659878204751,1,0
2025-07-31,86755.10659878205,123.10659878204751,1,0
2025-08-01,88058.41912063006,398.4191206300602,1,0
2025-08-04,88058.41912063006,398.4191206300602,1,0
2025-08-05,90218.41912063006,398.4191206300602,1,0
2025-08-06,89678.41912063006,398.4191206300602,1,0
2025-08-07,88804.85436035207,352.8543603520666,1,0
2025-08-08,94014.18176460206,209.1817646020645,1,0
2025-08-11,98429.46986343007,807.469863430073,1,0
2025-08-12,98192.04214895808,974.0421489580767,1,0
2025-08-13,99384.27121094208,294.2712109420827,1,0
2025-08-14,96823.17119522211,643.1711952221085,1,0
2025-08-15,96823.17119522211,643.1711952221085,1,0
2025-08-18,97366.45845246212,66.45845246211684,1,0
2025-08-19,99632.88196642612,947.8819664261246,1,0
2025-08-20,102892.76187308814,166.76187308813678,1,0
2025-08-21,100864.76187308814,166.76187308813678,1,0
2025-08-22,100830.03850171615,930.0385017161461,1,0
2025-08-25,100073.03397948414,2375.033979484142,1,0
2025-08-26,101175.03397948414,2375.033979484142,1,0
2025-08-27,98770.62956144815,850.6295614481496,1,0
2025-08-28,98883.97251910815,1912.9725191081525,1,0
2025-08-29,97450.69913124417,1918.6991312441678,1,0
2025-09-01,98175.07398791215,168.07398791215383,1,0
2025-09-02,98509.96250208016,164.96250208016136,1,0
2025-09-03,93150.84037918017,330.8403791801684,1,0
2025-09-04,102873.96088041019,463.9608804101881,1,0
2025-09-05,104090.2147261002,278.21472610019555,1,0
2025-09-08,114189.69106496818,114.69106496818131,1,0
2025-09-09,113561.6266946002,1873.6266946001997,1,0
2025-09-10,113661.77294509619,4125.772945096192,1,0
2025-09-11,113598.75702869619,146.7570286962,1,0
2025-09-12,114276.43670034819,296.4367003482039,1,0
2025-09-15,113821.8286004682,151.82860046820133,1,0
2025-09-16,111340.85899093222,1256.8589909322036,1,0
2025-09-17,111345.0129848802,195.01298488018801,1,0
2025-09-18,108095.0129848802,195.01298488018801,1,0
2025-09-19,109386.91109574416,858.911095744159,1,0
2025-09-22,104816.46490836017,408.4649083601689,1,0
2025-09-23,105570.93765896816,2376.9376589681633,1,0
2025-09-24,109798.98617887819,305.98617887818546,1,0
2025-09-25,108906.98617887819,305.98617887818546,1,0
2025-09-26,108285.86915297019,269.86915297019004,1,0
2025-09-29,110169.86915297019,269.86915297019004,1,0
2025-09-30,109305.0441432722,1351.0441432722,1,0
2025-10-09,108304.86144954819,843.8614495481888,1,0
2025-10-10,107238.86144954819,843.8614495481888,1,0
2025-10-13,106172.86144954819,843.8614495481888,1,0
2025-10-14,105699.94885120017,129.94885120018444,1,0
2025-10-15,104934.9488512002,129.94885120018444,1,0
2025-10-16,102214.63946009618,42.63946009617939,1,0
2025-10-17,100899.90219743218,162.9021974321804,1,0
2025-10-20,102269.94535522019,269.9453552201885,1,0
2025-10-21,114531.38549419619,291.38549419619085,1,0
2025-10-22,118814.32436772418,374.3243677241844,1,0
2025-10-23,120061.4818080282,49.48180802818388,1,0
2025-10-24,118590.18975982019,570.1897598201904,1,0
2025-10-27,117330.18975982019,570.1897598201904,1,0
2025-10-28,118083.00277746221,119.002777462214,1,0
2025-10-29,117047.23161489425,2273.2316148942336,1,0
2025-10-30,115789.84624493626,123.84624493625597,1,0
2025-10-31,119236.84624493626,123.84624493625597,1,0
2025-11-03,119380.30934874825,660.3093487482547,1,0
2025-11-04,118628.85634557226,376.8563455722615,1,0
2025-11-05,119587.69296154026,643.6929615402769,1,0
2025-11-06,119699.69296154029,643.6929615402769,1,0
2025-11-07,129219.69296154028,643.6929615402769,1,0
2025-11-10,127421.70127623227,448.7012762322702,1,0
