k,组合数,单模型净收益均值,门槛净收益均值,门槛净收益最小,门槛净收益最大,回撤均值
1,9,0.42416592892578225,0.853645127592259,0.10214372743747036,1.6056626656898558,-0.38736672638778546
2,36,0.3609465843276347,0.7733391110921218,-0.09991742197841125,1.8856492290094988,-0.380724120912029
3,84,0.4459533622619121,0.9129706631584069,-0.20854237619405336,2.182650067062261,-0.3861487348402937
4,126,0.4238602487311431,0.9187340963377776,-0.08604786754787153,2.0396112213349937,-0.3895736919975038
5,126,0.4413471026491303,0.9607729710884007,0.16698111838482776,2.1623293676170414,-0.389484057071629
6,84,0.37512886487814373,0.8950165983015924,0.23863471409802872,1.614453106278074,-0.39262617791334925
7,36,0.3316653200661088,0.8565407334578294,0.46719119170920975,1.5495263500768943,-0.3940350436285887
8,9,0.30823354893080096,0.8284399306445848,0.6338183735550094,1.075626244120993,-0.38917399671064623
9,1,0.2544676047112304,0.8054830449823898,0.8054830449823898,0.8054830449823898,-0.40347214735650805
