date,equity,cash,positions,blocked_exits
2025-07-02,100787.12941911,189.12941911000235,1,0
2025-07-03,103599.768737668,111.7687376679969,1,0
2025-07-04,99190.33924949399,311.33924949400534,1,0
2025-07-07,97536.76503909401,180.76503909401072,1,0
2025-07-08,98759.22870558202,319.22870558201976,1,0
2025-07-09,98260.84348172204,289.84348172204045,1,0
2025-07-10,98369.13507596805,113.13507596804993,1,0
2025-07-11,98711.00869904808,14.008699048077688,1,0
2025-07-14,97774.17834081808,270.17834081807814,1,0
2025-07-15,92788.17834081808,270.17834081807814,1,0
2025-07-16,94531.02062183007,399.02062183007365,1,0
2025-07-17,95737.9166147681,265.9166147680953,1,0
2025-07-18,94743.8898349721,453.88983497209847,1,0
2025-07-21,95655.97220571211,380.97220571211074,1,0
2025-07-22,93822.3102901721,1422.3102901720995,1,0
2025-07-23,93796.2103809081,183.21038090808725,1,0
2025-07-24,93811.7952886121,25.795288612120203,1,0
2025-07-25,95043.75862219612,99.75862219612463,1,0
2025-07-28,96101.78589077215,236.78589077213837,1,0
2025-07-29,98796.78589077214,236.78589077213837,1,0
2025-07-30,107456.42220504413,152.42220504413126,1,0
2025-07-31,108084.70975988013,32.70975988013379,1,0
2025-08-01,109713.10369769814,138.10369769814133,1,0
2025-08-04,109713.10369769814,138.10369769814133,1,0
2025-08-05,112355.64503901814,25.645039018141688,1,0
2025-08-06,113548.61552126215,142.61552126215247,1,0
2025-08-07,112895.22238887816,55.22238887815911,1,0
2025-08-08,119532.02317346816,27.0231734681729,1,0
2025-08-11,121273.05863572218,50.058635722176405,1,0
2025-08-12,119856.80701469418,52.80701469417545,1,0
2025-08-13,119662.83715847618,27.837158476177137,1,0
2025-08-14,115586.8096366842,170.8096366841928,1,0
2025-08-15,115586.8096366842,170.8096366841928,1,0
2025-08-18,116237.14247942621,172.14247942621296,1,0
2025-08-19,118949.19593153823,914.1959315382119,1,0
2025-08-20,121588.7608209942,124.76082099419727,1,0
2025-08-21,122892.12721728621,142.12721728620818,1,0
2025-08-22,120946.29115037424,242.29115037423617,1,0
2025-08-25,119314.39147557427,1048.3914755742735,1,0
2025-08-26,120648.39147557427,1048.3914755742735,1,0
2025-08-27,117772.39298942228,268.39298942228197,1,0
2025-08-28,117909.98386788231,1148.9838678823144,1,0
2025-08-29,116178.47010915431,534.4701091543102,1,0
2025-09-01,117051.7682605703,17.76826057030121,1,0
2025-09-02,117450.9919904343,415.9919904342969,1,0
2025-09-03,113505.9919904343,415.9919904342969,1,0
2025-09-04,124543.14209943228,573.142099432298,1,0
2025-09-05,126019.3447538923,67.34475389230647,1,0
2025-09-08,138148.4445491803,1258.4445491803053,1,0
2025-09-09,139556.64965752832,300.6496575283236,1,0
2025-09-10,139864.01475143235,2944.014751432347,1,0
2025-09-11,139013.41989957637,69.4198995763727,1,0
2025-09-12,141298.03181102843,1078.031811028428,1,0
2025-09-15,140163.67032197246,351.6703219724586,1,0
2025-09-16,137929.7025076205,2441.7025076205027,1,0
2025-09-17,137940.3396093345,285.33960933450726,1,0
2025-09-18,133915.3396093345,285.33960933450726,1,0
2025-09-19,135526.2927509785,342.29275097849313,1,0
2025-09-22,129841.71106746647,173.71106746647274,1,0
2025-09-23,126454.2848878465,174.28488784648653,1,0
2025-09-24,133295.8786505165,234.87865051650442,1,0
2025-09-25,132211.8786505165,234.87865051650442,1,0
2025-09-26,129533.19743619648,2208.1974361964967,1,0
2025-09-29,129588.1974361965,2208.1974361964967,1,0
2025-09-30,127077.82733851651,1941.8273385165085,1,0
2025-10-09,127749.82733851651,1941.8273385165085,1,0
2025-10-10,126501.82733851651,1941.8273385165085,1,0
2025-10-13,125253.82733851651,1941.8273385165085,1,0
2025-10-14,124684.81360121249,70.81360121250327,1,0
2025-10-15,123781.81360121252,70.81360121250327,1,0
2025-10-16,134608.84884375252,1551.8488437525084,1,0
2025-10-17,134071.95477750446,340.954777504463,1,0
2025-10-20,135214.95477750446,340.954777504463,1,0
2025-10-21,147040.88380879647,160.88380879646866,1,0
2025-10-22,152548.79741928447,508.7974192844704,1,0
2025-10-23,152609.3941810605,353.39418106048834,1,0
2025-10-24,151777.3941810605,353.39418106048834,1,0
2025-10-27,150945.3941810605,353.39418106048834,1,0
2025-10-28,150945.3941810605,353.39418106048834,1,0
2025-10-29,149188.1965565085,226.196556508512,1,0
2025-10-30,147603.25852454055,227.25852454054984,1,0
2025-10-31,150671.04239013256,151.04239013255574,1,0
2025-11-03,150853.46116136055,333.46116136055207,1,0
2025-11-04,149900.8519212846,198.8519212846004,1,0
2025-11-05,151119.2551944526,315.25519445259124,1,0
2025-11-06,151261.2551944526,315.25519445259124,1,0
2025-11-07,163331.2551944526,315.25519445259124,1,0
2025-11-10,153363.29523432459,1875.2952343245852,1,0
2025-11-11,169835.69868362256,617.6986836225551,1,0
2025-11-12,180608.38847059658,581.3884705965756,1,0
2025-11-13,182600.38847059658,581.3884705965756,1,0
2025-11-14,184343.38847059658,581.3884705965756,1,0
2025-11-17,202053.20567656856,82.20567656855565,1,0
2025-11-18,195723.43886683858,598.43886683858,1,0
2025-11-19,193354.11689293862,224.11689293861855,1,0
2025-11-20,193189.91200685865,49.912006858648965,1,0
2025-11-21,186011.66774596667,125.66774596666801,1,0
2025-11-24,188705.66774596667,125.66774596666801,1,0
2025-11-25,185087.88518763467,74.88518763467437,1,0
2025-11-26,205744.90501356462,55.905013564624824,1,0
2025-11-27,205628.1675834846,114.16758348461008,1,0
2025-11-28,208550.1675834846,114.16758348461008,1,0
2025-12-01,209524.1675834846,114.16758348461008,1,0
2025-12-02,214435.56528000458,865.5652800045791,1,0
2025-12-03,211033.41788820457,169.41788820459624,1,0
2025-12-04,205429.2177654126,191.21776541261352,1,0
2025-12-05,198060.37787688462,636.3778768846241,1,0
2025-12-08,199670.67527898864,85.67527898863773,1,0
2025-12-09,195382.1330850767,310.13308507669717,1,0
2025-12-10,195372.22971757673,144.22971757673076,1,0
2025-12-11,203863.67039224674,142.67039224674227,1,0
2025-12-12,199513.74597879872,153.74597879871726,1,0
2025-12-15,200490.58293067678,735.5829306767846,1,0
2025-12-16,195936.58293067678,735.5829306767846,1,0
2025-12-17,197385.58293067678,735.5829306767846,1,0
2025-12-18,195108.58293067678,735.5829306767846,1,0
2025-12-19,196240.17119480483,44.17119480483234,1,0
2025-12-22,193407.08479322479,115.08479322481435,1,0
2025-12-23,192027.76970110886,529.7697011088603,1,0
2025-12-24,193113.76970110886,529.7697011088603,1,0
2025-12-25,192801.73633810086,81.73633810086176,1,0
2025-12-26,204431.66000114285,209.6600011428527,1,0
2025-12-29,204103.15168243684,253.15168243684457,1,0
2025-12-30,204647.47455662087,205.47455662087305,1,0
2025-12-31,203457.47455662084,205.47455662087305,1,0
2026-01-05,202505.47455662087,205.47455662087305,1,0
2026-01-06,200361.93012268087,147.93012268087477,1,0
2026-01-07,197393.4854822149,251.48548221489182,1,0
2026-01-08,204411.4854822149,251.48548221489182,1,0
2026-01-09,203135.4854822149,251.48548221489182,1,0
2026-01-12,208293.10175145496,501.1017514549312,1,0
2026-01-13,204585.143366805,485.1433668049867,1,0
2026-01-14,203610.143366805,485.1433668049867,1,0
2026-01-15,200685.143366805,485.1433668049867,1,0
2026-01-16,198610.554002601,666.554002601013,1,0
2026-01-19,199291.554002601,666.554002601013,1,0
2026-01-20,194900.73848621102,214.73848621101934,1,0
2026-01-21,196778.73848621102,214.73848621101934,1,0
2026-01-22,199282.73848621102,214.73848621101934,1,0
2026-01-23,218802.86918701103,66.86918701103423,1,0
2026-01-26,226677.83270722505,311.83270722505404,1,0
2026-01-27,215768.13008229705,462.13008229705156,1,0
2026-01-28,210260.78116759704,215.78116759704426,1,0
2026-01-29,217731.96151308107,628.9615130810707,1,0
2026-01-30,217196.96151308104,628.9615130810707,1,0
2026-02-02,211646.59781768508,72.59781768507673,1,0
2026-02-03,218492.59781768508,72.59781768507673,1,0
2026-02-04,213753.9494372131,449.9494372131012,1,0
2026-02-05,211615.8207132691,261.8207132690877,1,0
2026-02-06,209714.33634367707,434.3363436770742,1,0
2026-02-09,216863.9106076531,178.91060765308794,1,0
2026-02-10,221664.33320813312,2364.3332081331173,1,0
2026-02-11,214067.5168132251,32.516813225112855,1,0
2026-02-12,213316.5168132251,32.516813225112855,1,0
2026-02-13,211628.28716461913,534.2871646191343,1,0
2026-02-24,232857.28716461913,534.2871646191343,1,0
2026-02-25,240214.61888337514,358.61888337516575,1,0
2026-02-26,228116.61888337517,358.61888337516575,1,0
2026-02-27,235480.61888337517,358.61888337516575,1,0
2026-03-02,237584.61888337517,358.61888337516575,1,0
2026-03-03,253364.61888337514,358.61888337516575,1,0
2026-03-04,246196.27039789528,756.2703978952486,1,0
2026-03-05,266301.6078720472,240.60787204725784,1,0
2026-03-06,270306.05506459123,84.0550645912299,1,0
2026-03-09,269766.29900555924,561.2990055592381,1,0
2026-03-10,273696.29900555924,561.2990055592381,1,0
2026-03-11,274286.1301861252,110.13018612522865,1,0
2026-03-12,270511.7457192412,511.7457192412112,1,0
2026-03-13,264911.7457192412,511.7457192412112,1,0
2026-03-16,265711.7457192412,511.7457192412112,1,0
2026-03-17,258111.74571924124,511.7457192412112,1,0
