date,equity,cash,positions,blocked_exits
2025-07-02,100460.319285552,528.3192855520028,1,0
2025-07-03,100785.927733456,234.9277334560029,1,0
2025-07-04,100051.14260897602,237.1426089760207,1,0
2025-07-07,99436.74831023804,856.7483102380211,1,0
2025-07-08,100203.37842184604,33.37842184603505,1,0
2025-07-09,99205.71446899805,155.7144689980487,1,0
2025-07-10,100054.71446899805,155.7144689980487,1,0
2025-07-11,99771.71446899805,155.7144689980487,1,0
2025-07-14,99771.71446899805,155.7144689980487,1,0
2025-07-15,94677.71446899805,155.7144689980487,1,0
2025-07-16,96092.71446899805,155.7144689980487,1,0
2025-07-17,95809.71446899805,155.7144689980487,1,0
2025-07-18,94464.86679067004,174.86679067004297,1,0
2025-07-21,95303.98388624606,163.98388624606014,1,0
2025-07-22,94593.98388624606,163.98388624606014,1,0
2025-07-23,92582.16276376008,674.1627637600759,1,0
2025-07-24,96064.76288888807,199.76288888807176,1,0
2025-07-25,95744.78132919208,112.78132919207565,1,0
2025-07-28,94632.78132919208,112.78132919207565,1,0
2025-07-29,93536.80607527208,18.806075272077578,1,0
2025-07-30,93448.7975289681,99.79752896810533,1,0
2025-07-31,90711.1759894241,201.17598942411132,1,0
2025-08-01,91902.38674020012,346.3867402001197,1,0
2025-08-04,92487.55200558015,109.55200558014621,1,0
2025-08-05,92487.55200558015,109.55200558014621,1,0
2025-08-06,91991.72729484615,231.72729484614683,1,0
2025-08-07,97387.64881669015,1081.6488166901545,1,0
2025-08-08,96830.98545454616,278.9854545461567,1,0
2025-08-11,100613.75372074616,422.75372074615734,1,0
2025-08-12,100713.8753803582,137.87538035819307,1,0
2025-08-13,99593.87538035821,137.87538035819307,1,0
2025-08-14,96009.8753803582,137.87538035819307,1,0
2025-08-15,97185.8104129142,2185.810412914201,1,0
2025-08-18,97348.75303401821,48.75303401821293,1,0
2025-08-19,99615.17654798222,930.1765479822207,1,0
2025-08-20,106948.76495331424,1414.7649533142394,1,0
2025-08-21,106020.69337421625,455.69337421625096,1,0
2025-08-22,104399.25276006426,503.2527600642643,1,0
2025-08-25,103603.11230564826,763.1123056482611,1,0
2025-08-26,104763.11230564826,763.1123056482611,1,0
2025-08-27,102629.79747856027,296.797478560271,1,0
2025-08-28,102231.81121582029,1302.8112158202857,1,0
2025-08-29,100729.5216106603,169.52161066030385,1,0
2025-09-01,101206.54436318231,1705.5443631823,1,0
2025-09-02,99115.5443631823,1705.5443631823,1,0
2025-09-03,96019.3002453563,129.3002453562949,1,0
2025-09-04,95136.47720734631,378.4772073463246,1,0
2025-09-05,96192.89414787432,1851.8941478743218,1,0
2025-09-08,98634.07009360033,15.0700936003268,1,0
2025-09-09,98205.63145026835,1085.6314502683526,1,0
2025-09-10,98292.90376082837,2448.903760828369,1,0
2025-09-11,98815.99125514438,264.9912551443849,1,0
2025-09-12,97790.33523452838,1859.3352345283784,1,0
2025-09-15,92060.33427793639,914.3342779363884,1,0
2025-09-16,95283.28012884839,17.280128848389722,1,0
2025-09-17,96114.24857845038,372.2485784503806,1,0
2025-09-18,94935.82040361439,255.82040361438703,1,0
2025-09-19,94253.9869159164,310.9869159163936,1,0
2025-09-22,92934.5827217124,314.5827217124024,1,0
2025-09-23,93615.3790472324,1005.3790472324035,1,0
2025-09-24,94094.49648236843,1019.4964823684277,1,0
2025-09-25,93357.76367183444,340.7636718344438,1,0
2025-09-26,97368.76367183444,340.7636718344438,1,0
2025-09-29,99078.50927844644,163.50927844643593,1,0
2025-09-30,98265.50927844644,163.50927844643593,1,0
2025-10-09,98118.79658308243,1141.796583082425,1,0
2025-10-10,97156.79658308243,1141.796583082425,1,0
2025-10-13,96194.79658308243,1141.796583082425,1,0
2025-10-14,95762.54696068639,128.54696068640624,1,0
2025-10-15,95069.54696068642,128.54696068640624,1,0
2025-10-16,103361.95428184641,1445.9542818464106,1,0
2025-10-17,96048.57160582642,2388.5716058264225,1,0
2025-10-20,98749.76444168245,235.7644416824478,1,0
2025-10-21,101323.76444168245,235.7644416824478,1,0
2025-10-22,100216.87818903445,256.8781890344544,1,0
2025-10-23,98975.17741310845,77.17741310845304,1,0
2025-10-24,97720.04973787047,46.04973787047493,1,0
2025-10-27,97939.04973787047,46.04973787047493,1,0
2025-10-28,97939.04973787047,46.04973787047493,1,0
