k,组合数,单模型净收益均值,门槛净收益均值,门槛净收益最小,门槛净收益最大,回撤均值
1,6,0.46706916800945586,0.9285726738457919,0.10214372743747036,1.6056626656898558,-0.38081733521210936
2,15,0.5103612324135998,0.9786227462938124,0.1669733876769104,1.825813674033617,-0.3829508513993771
3,20,0.6322594476941357,1.1378296884557897,0.32790650078329264,1.7772099893449322,-0.3679954658621497
4,15,0.6621511270353807,1.2079745326142337,0.6331579544043102,1.8259808391153118,-0.3644965598752913
5,6,0.6463969413973456,1.2305253577917028,0.8746497073733512,1.532756683230553,-0.36418479568631623
6,1,0.4167759901050734,0.9557570353030929,0.9557570353030929,0.9557570353030929,-0.3667363660160111
