version,,rank,mean_pct,t,win_rate,n
V62,0,1,0.4991395870889421,2.2325720107016225,0.4793388429752066,242
V62,1,2,-0.17458826449241735,-0.9974263096006174,0.44214876033057854,242
V62,2,3,0.1916107608097767,1.1009463537758393,0.4628099173553719,242
V62,3,4,-0.006904968345337662,-0.038269590254738715,0.4793388429752066,242
V62,4,5,0.3401046592842264,1.6651697029600554,0.45867768595041325,242
V62,5,6,0.048783208841981354,0.27475484750318657,0.45041322314049587,242
V62,6,7,0.385653865109929,1.7119762904602998,0.5289256198347108,242
V62,7,8,0.10341720577148521,0.5406160746338069,0.4256198347107438,242
V62,8,9,0.10927228693858035,0.572379078465861,0.45041322314049587,242
V62,9,10,0.08661216088813106,0.4710550028685026,0.48760330578512395,242
V66,0,1,0.6680652343577606,2.949469693099922,0.5247933884297521,242
V66,1,2,-0.3499182087392354,-1.9342998434473695,0.4256198347107438,242
V66,2,3,0.15525972900704352,0.8613347112198906,0.4297520661157025,242
V66,3,4,0.02743497217643606,0.14153594083044085,0.45041322314049587,242
V66,4,5,0.15876742025975846,0.7276388195302342,0.4297520661157025,242
V66,5,6,0.29933117378179813,1.5713711915615605,0.4628099173553719,242
V66,6,7,-0.04542093562377879,-0.24466632494654617,0.45454545454545453,242
V66,7,8,-0.024558149503297672,-0.12168576332630347,0.4214876033057851,242
V66,8,9,0.14817004836710893,0.8997986108897842,0.4628099173553719,242
V66,9,10,0.1063403783391099,0.5582580209362159,0.49586776859504134,242
