factor,ic_mean,icir,ic_pos_years,years,max_abs_rho_vs_old
afx_fi_networking_capital,0.0002083383719222003,0.02336283276920663,2.0,8.0,0.2067157629676639
afx_fi_capitalized_to_da,0.00020681092782009564,0.06769949899022502,5.0,8.0,0.43485303505197376
afx_fi_valuechange_income,0.00020533804737161922,0.026953865767472454,5.0,8.0,0.169964061830499
afx_cf_end_bal_cash,0.00020391826535947136,0.0647460780347021,5.0,8.0,0.32730582879827036
afx_fi_q_dtprofit_to_profit,0.00019882490259918615,0.04120935222286566,4.0,8.0,0.18775342540834425
afx_fi_diluted2_eps,-0.00017018071108372383,-0.00934748175982743,4.0,8.0,0.22581010306150096
afx_fi_roe_avg,8.850281942342458e-05,0.009523973837390032,4.0,8.0,0.4572353382078349
afx_fi_noncurrent_exint,7.635889049045904e-05,0.016113490019074937,4.0,8.0,0.17639118166741805
afx_fi_q_investincome,-7.218295043316984e-05,-0.011926882474993973,5.0,8.0,0.35728664291822887
afx_fi_extra_item,7.004016189569634e-05,0.015994245169819243,4.0,8.0,0.5189534509873736
afx_fi_q_adminexp_to_gr,-3.0557713804402697e-05,-0.006339444515581181,5.0,8.0,0.19027119697967956
afx_fi_q_opincome,-2.292522025066756e-05,-0.001481401749943667,4.0,8.0,0.3950854557637114
afx_fi_q_impair_to_gr_ttm,-1.5090293200580832e-05,-0.003400213998421967,3.0,8.0,0.44095797286451394
afx_bs_lt_payroll_payable,-1.112146797626755e-05,-0.0012315819416396595,5.0,8.0,0.3609729023881015
afx_cf_beg_bal_cash,-2.7734701536412474e-06,-0.0004886102508271233,3.0,8.0,0.1850878938045973
