ver,说明,IC,ICIR,Σtop1,top1净收益,top1回撤,top1后半程,top1费用,top1笔数,top5净收益,top5费用
V62,337 列（对照，=V32）,0.0378468487616011,0.3201395319235725,1.20791780075524,1.2334670382740582,-0.2731111329449014,0.09252502193719536,28927.498572596,322,0.1479193664952385,18349.529965669542
V63,全部 653 列,0.0402880524004581,0.3463842269725989,0.0928820708650164,-0.2364610764386255,-0.4702465951444003,-0.22427940553426118,15020.972843864,312,-0.1630411714052023,11677.214340521
V64,337+mfx28+efx32=397,0.0393576438991344,0.3270020272933005,0.7142714295187034,0.3765536968534944,-0.2968627958624852,-0.16601375741875224,22930.817314652,324,0.0587847646163848,15123.601253554549
V65,337+按|IC|前40=371,0.038993293722294,0.3277050517924819,0.3882028362713754,-0.029798051985891,-0.3395519406672267,-0.13820322472125945,17835.510698590002,340,-0.1112916955624077,13998.82186684706
V66,337+随机40=377,0.039773960166639,0.3458003562966705,1.6167178671457805,2.301959461729169,-0.2656186491787971,0.5567041792165228,37671.634827086,332,0.0391521208240832,17166.331417593
V72,,0.038155777154568,0.3292644339895648,0.4523013413418084,0.0705995526271936,-0.3632505166643388,-0.14203770326384768,18324.62263131947,318,0.0611383960127285,16302.027624525606
V73,,0.036728097059507,0.3080973169896051,0.964481039205566,0.7836396946975981,-0.3990285280958685,0.15275144445546052,24578.951730242,320,0.1445425840146805,17356.678324330605
V74,,0.0369576181410781,0.3192655001930378,0.5538028880255297,0.1608391049505135,-0.4391174814572051,-0.30651207778991996,24349.05630495,346,-0.003051313333827,17300.520770242012
V34,旧快照 337 列 seed3254,0.0387542950478305,0.3374819627074608,0.7300925692543387,0.41773627244948,-0.3961857305611798,-0.11645587253024914,24078.957255054,326,0.227104468433346,17511.248271858545
V36,旧快照 337 列 seed3255,0.0379982046322529,0.3165702482279297,0.9599011266836897,0.730642344823877,-0.465367173311689,-0.23988065612111398,31584.201717614,320,0.1615604989443859,16973.479320754548
V50,,0.0372414301354901,0.3202315122704873,0.6341141794109717,0.2740632912111707,-0.3422902565457147,0.06025684930389752,19469.759478884,314,0.0752964335259867,17318.109462594548
V51,,0.0393710274536622,0.3306468093628708,0.1939343040576204,-0.1819995214949261,-0.3823701080264575,-0.14623363648956356,17410.414749494,340,-0.0331689089774057,15493.81915632588
V52,,0.0392636204112854,0.3353472528198748,0.680595621233806,0.3285055827930754,-0.425579609882714,-0.14944608952043503,23381.110420694,322,0.0863817384520861,15736.206469984549
