factor,ic_mean,icir,ic_pos_years,years,max_abs_rho_vs_old
afx_bs_div_payable,-0.002163031845829576,-0.21633559635256266,4.0,8.0,0.2597748710555613
afx_is_diluted_eps,-0.0021342594857484782,-0.23457716145712196,4.0,8.0,0.17358781167062862
afx_fi_q_profit_to_gr,0.0021265935692206233,0.36577530657977525,5.0,8.0,0.6208571407617111
afx_fi_q_netprofit_margin,0.002111918679394936,0.3653154245841556,5.0,8.0,0.22754662306201098
afx_fi_salescash_to_or,0.0021042435933802386,0.3762656490094244,5.0,8.0,0.12540388137313263
afx_fi_roa2_yearly,-0.0020659020376836315,-0.2781934815968508,3.0,8.0,0.20605064618637212
afx_fi_roa,-0.0020659020376836315,-0.2781934815968508,3.0,8.0,0.18956979031020604
afx_fi_q_op_to_gr,0.00205508192220251,0.36592491526532134,5.0,8.0,0.4573758084173222
afx_fi_q_profit_qoq,0.0020030282714946102,0.5561466395079477,5.0,8.0,0.267067739054869
afx_fi_q_op_qoq,0.001988710415839611,0.5767464640867068,6.0,8.0,0.17369220991861262
afx_fi_expense_of_sales,0.001959758357666239,0.32241914965720103,5.0,8.0,0.1930857520350941
afx_cf_use_right_asset_dep,-0.0019579745008767887,-0.21851302473956177,2.0,6.0,0.33377852459864515
afx_fi_arturn_days,-0.0019500501028633544,-0.37816178384884,3.0,8.0,0.4457297041655411
afx_cf_oth_recp_ral_inv_act,-0.0019374280742381696,-0.4777892495051958,2.0,8.0,0.3584637713462852
efx_forecast_revision_delay,0.001889211251576512,0.48399426471599183,6.0,8.0,0.6886286423539753
afx_fi_ocf_to_interestdebt,0.0018849245379444985,0.35766610821923867,4.0,8.0,0.5294031806270073
afx_is_compr_inc_attr_m_s,0.0018592766280712163,0.2279587803548601,5.0,8.0,0.6520933741222323
afx_fi_dt_eps_yoy,0.0018532952412633065,0.3210273352258017,5.0,8.0,0.6610773431045313
afx_fi_adminexp_of_gr,0.0018221427303962807,0.3234103638327207,5.0,8.0,0.16395831873432956
qf_cash_margin_vol_4q,0.0018148472815116695,0.22220835129008681,6.0,8.0,0.45528766198501125
afx_fi_cfps_yoy,0.0018000238561601523,0.4331699951834273,5.0,8.0,0.18243635380987377
afx_fi_q_ocf_to_or,0.0017879685758470615,0.6430962670525545,5.0,8.0,0.3544695984015877
afx_cf_beg_bal_cash_equ,0.0017875622548673281,0.5129468248205152,6.0,8.0,0.3267574436656316
afx_fi_basic_eps_yoy,0.0017681708417299471,0.30967432763368713,4.0,8.0,0.38347089052237215
afx_cf_im_n_incr_cash_equ,0.0016897516159056793,0.30998351937116403,5.0,8.0,0.2896131359992899
afx_cf_incr_def_inc_tax_liab,0.00167155623714349,0.24981686266054282,5.0,8.0,0.11952000489320933
afx_fi_tangasset_to_intdebt,0.0016235067303268888,0.3991096313470191,5.0,8.0,0.1863026755030778
afx_fi_ebit_to_interest,-0.0016089754860333498,-0.369513036748918,3.0,8.0,0.390984003117571
afx_fi_profit_dedt,0.00160878378855067,0.08772320713550587,4.0,8.0,0.30334163974165695
afx_fi_ebit_of_gr,-0.0016006259879898723,-0.25046531808074346,4.0,8.0,0.16286311664133993
afx_fi_inv_turn,-0.0016003850680178463,-0.3383230271416531,2.0,8.0,0.1687425427296308
afx_fi_ca_turn,-0.0015975781743639346,-0.27684483062341664,4.0,8.0,0.583201180475263
afx_fi_roa_yearly,-0.0015886254270125588,-0.20812151660772307,4.0,8.0,0.3656652864589567
afx_fi_npta,-0.0015886254270125588,-0.20812151660772307,4.0,8.0,0.378366060625656
afx_fi_eqt_to_interestdebt,0.0015835953878887295,0.4051733474622255,5.0,8.0,0.2586521482696732
afx_bs_hfs_assets,0.001541704476261379,0.495008207268159,5.0,8.0,0.36189428798610385
afx_fi_ocf_to_or,0.001540695414356048,0.3280269812985617,4.0,8.0,0.1892523193859549
afx_fi_assets_turn,-0.0015374163810076159,-0.2387109530805867,4.0,8.0,0.390482930945781
afx_fi_tax_to_ebt,-0.0015178681855392846,-0.4529297270119442,3.0,8.0,0.6026114131896787
afx_fi_dtprofit_to_profit,0.0014829821345424994,0.27509740534349975,5.0,8.0,0.3500634346320898
afx_cf_decr_oper_payable,0.001480097058484692,0.14927597094416425,4.0,8.0,0.3418261793330161
afx_fi_roa_dp,-0.0014223119304175205,-0.19109494629268411,4.0,8.0,0.22178376555131193
afx_cf_c_cash_equ_end_period,0.0014110325237417448,0.4305452667399135,6.0,8.0,0.21243610354727988
afx_cf_incl_dvd_profit_paid_sc_ms,0.0013761460036460405,0.1268592576904055,7.0,8.0,0.025361272825994857
afx_fi_non_op_profit,0.0013538778347075937,0.39119362190533874,6.0,8.0,0.18083461440784074
afx_fi_q_opincome_to_ebt,0.001340994323040091,0.34741256960817,5.0,8.0,0.2884707584186281
afx_cf_decr_def_inc_tax_assets,0.0012881809727421673,0.21827050960946998,5.0,8.0,0.3953402275931505
afx_fi_ocf_to_shortdebt,0.0012541935969923675,0.2941848699270135,5.0,8.0,0.2393555537988238
