# 冻结股票池（factor engineering · universe）★ 一经冻结不要修改
# generated_at=2026-09-18 23:13:31
# 口径：主板 ∩ 至今存续 ∩ 从未ST(2016-08-09起) ∩ 上市日≤2018-01-01
# 只数=2115
#
# ⚠️ 代价（用户 2026-09-18 确认接受）：
#   1) 要求『至今存续』→ 引入幸存者偏差（回测收益会被系统性高估）；
#   2) 『从未ST』是事后判据（2019 年 ST 过的票，其 2012–2018 数据也一并剔除）；
#   3) ST 判据 = stock_st_info（type='ST'，官方口径）；
#      ⚠️ 其覆盖只到 2016-08-09 ⇒ 完整含义是『2016-08-09 以来从未 ST』。
#      ⚠️ 不可改用 stock_daily 的 stock_name —— 厂商已把历史名称改成当前名。
#
# ★ 内容哈希会进 fea/engine.py 的 universe_fp：改它 = 触发全部因子全量重建。
#   重新生成：python scripts/build_frozen_universe.py --force
#
# stock_code	list_date	delist_date
000733.SZ	1997-07-03	
000735.SZ	1997-06-11	
000738.SZ	1997-06-26	
000739.SZ	1997-05-09	
000750.SZ	1997-07-09	
000751.SZ	1997-06-26	
000753.SZ	1997-06-26	
000756.SZ	1997-08-06	
000757.SZ	1997-06-27	
000758.SZ	1997-04-16	
000759.SZ	1997-05-19	
000761.SZ	1998-01-15	
000762.SZ	1997-07-08	
000766.SZ	1997-04-30	
000767.SZ	1997-06-09	
000768.SZ	1997-06-26	
000776.SZ	1997-06-11	
000777.SZ	1997-07-10	
000778.SZ	1997-06-06	
000779.SZ	1997-05-28	
000782.SZ	1997-06-19	
000783.SZ	1997-07-31	
000785.SZ	1997-07-11	
000786.SZ	1997-06-06	
000788.SZ	1997-06-16	
000789.SZ	1997-09-23	
000790.SZ	1998-03-27	
000791.SZ	1997-10-14	
000795.SZ	1997-08-08	
000797.SZ	1997-07-15	
000798.SZ	1998-02-12	
000799.SZ	1997-07-18	
000800.SZ	1997-06-18	
000801.SZ	1998-05-06	
000807.SZ	1998-04-08	
000810.SZ	1998-06-02	
000811.SZ	1998-05-28	
000812.SZ	1998-06-23	
000813.SZ	1998-05-19	
000815.SZ	1998-06-09	
000818.SZ	1997-10-17	
000819.SZ	1997-06-25	
000822.SZ	1998-07-03	
000823.SZ	1997-10-08	
000825.SZ	1998-10-21	
000828.SZ	1997-06-17	
000829.SZ	1997-12-02	
000830.SZ	1998-08-07	
000833.SZ	1998-11-11	
000848.SZ	1997-11-13	
000850.SZ	1998-10-07	
000852.SZ	1998-11-26	
000858.SZ	1998-04-27	
000859.SZ	1998-11-19	
000860.SZ	1998-11-04	
000862.SZ	1998-09-15	
000863.SZ	1997-09-25	
000869.SZ	2000-10-26	
000875.SZ	2002-09-26	
000876.SZ	1998-03-11	
000877.SZ	1999-01-07	
000878.SZ	1998-06-02	
000880.SZ	1998-04-02	
000881.SZ	1998-09-02	
000882.SZ	1998-06-16	
000883.SZ	1998-05-19	
000885.SZ	1999-03-19	
000886.SZ	1998-01-23	
000887.SZ	1998-12-03	
000888.SZ	1997-10-21	
000892.SZ	1999-01-15	
000895.SZ	1998-12-10	
000898.SZ	1997-12-25	
000899.SZ	1997-11-26	
000900.SZ	1999-01-28	
000901.SZ	1999-04-01	
000902.SZ	1999-04-08	
000905.SZ	1999-04-29	
000906.SZ	1999-07-07	
000910.SZ	1999-06-30	
000915.SZ	1999-06-09	
000917.SZ	1999-03-25	
000919.SZ	1999-11-18	
000920.SZ	1999-06-16	
000921.SZ	1999-07-13	
000923.SZ	1999-07-14	
000925.SZ	1999-06-11	
000926.SZ	1999-06-18	
000928.SZ	1999-03-12	
000930.SZ	1999-07-12	
000931.SZ	1999-07-12	
000935.SZ	1999-08-24	
000936.SZ	1999-08-10	
000937.SZ	1999-09-09	
000938.SZ	1999-11-04	
000948.SZ	1999-10-14	
000949.SZ	1999-10-21	
000951.SZ	1999-11-25	
000952.SZ	1999-11-12	
000955.SZ	1999-12-09	
000957.SZ	2000-01-13	
000958.SZ	1999-12-23	
000959.SZ	1999-12-16	
000960.SZ	2000-02-21	
000963.SZ	2000-01-27	
000965.SZ	2000-04-06	
000966.SZ	2000-03-16	
000967.SZ	2000-03-30	
000969.SZ	2000-05-29	
000970.SZ	2000-04-20	
000973.SZ	2000-05-25	
000975.SZ	2000-06-08	
000977.SZ	2000-06-08	
000978.SZ	2000-05-18	
000983.SZ	2000-07-26	
000985.SZ	2000-07-26	
000987.SZ	2000-07-18	
000988.SZ	2000-06-08	
000990.SZ	2000-07-06	
000993.SZ	2000-07-31	
000997.SZ	2000-08-07	
000998.SZ	2000-12-11	
000999.SZ	2000-03-09	
001696.SZ	1997-03-06	
001872.SZ	1993-05-05	
001896.SZ	1998-01-22	
001914.SZ	1994-09-28	
001965.SZ	2017-12-25	
001979.SZ	2015-12-30	
002001.SZ	2004-06-25	
002003.SZ	2004-06-25	
002004.SZ	2004-06-25	
002006.SZ	2004-06-25	
002007.SZ	2004-06-25	
002008.SZ	2004-06-25	
002009.SZ	2004-06-29	
002010.SZ	2004-06-29	
002011.SZ	2004-07-05	
002012.SZ	2004-07-05	
002014.SZ	2004-07-08	
002015.SZ	2004-07-08	
002016.SZ	2004-07-08	
002017.SZ	2004-07-13	
002019.SZ	2004-07-13	
002020.SZ	2004-07-15	
002023.SZ	2004-07-21	
002025.SZ	2004-07-26	
002026.SZ	2004-07-27	
002027.SZ	2004-08-04	
002028.SZ	2004-08-05	
002029.SZ	2004-08-06	
002030.SZ	2004-08-09	
002031.SZ	2004-08-16	
002032.SZ	2004-08-17	
002033.SZ	2004-08-25	
002034.SZ	2004-08-26	
002035.SZ	2004-09-01	
002036.SZ	2004-09-03	
002037.SZ	2004-09-08	
002038.SZ	2004-09-09	
002039.SZ	2005-03-03	
002040.SZ	2005-03-25	
002041.SZ	2005-04-18	
002042.SZ	2005-04-27	
002043.SZ	2005-05-10	
002044.SZ	2005-05-18	
002045.SZ	2005-05-23	
002046.SZ	2005-05-26	
002048.SZ	2005-06-03	
002049.SZ	2005-06-06	
002050.SZ	2005-06-07	
002051.SZ	2006-06-19	
002053.SZ	2006-06-27	
002054.SZ	2006-07-25	
002056.SZ	2006-08-02	
002057.SZ	2006-08-02	
002059.SZ	2006-08-10	
002060.SZ	2006-08-10	
002062.SZ	2006-08-16	
002063.SZ	2006-08-23	
002064.SZ	2006-08-23	
002065.SZ	2006-08-23	
002066.SZ	2006-08-23	
002067.SZ	2006-09-15	
002068.SZ	2006-09-15	
002073.SZ	2006-10-18	
002074.SZ	2006-10-18	
002075.SZ	2006-10-25	
002078.SZ	2006-11-16	
002079.SZ	2006-11-16	
002080.SZ	2006-11-20	
002081.SZ	2006-11-20	
002083.SZ	2006-11-24	
002084.SZ	2006-11-24	
002085.SZ	2006-11-28	
002088.SZ	2006-11-30	
002090.SZ	2006-12-08	
002091.SZ	2006-12-08	
002093.SZ	2006-12-15	
002094.SZ	2006-12-15	
002095.SZ	2006-12-15	
002096.SZ	2006-12-22	
002097.SZ	2006-12-22	
002098.SZ	2006-12-22	
002099.SZ	2006-12-26	
002100.SZ	2006-12-26	
002101.SZ	2006-12-29	
002103.SZ	2007-01-10	
002104.SZ	2007-01-10	
002105.SZ	2007-01-12	
002106.SZ	2007-01-12	
002107.SZ	2007-01-24	
002108.SZ	2007-01-24	
002110.SZ	2007-01-26	
002111.SZ	2007-01-26	
002112.SZ	2007-02-08	
002114.SZ	2007-02-15	
002115.SZ	2007-02-15	
002116.SZ	2007-02-15	
002117.SZ	2007-03-02	
002119.SZ	2007-03-02	
002120.SZ	2007-03-06	
002123.SZ	2007-03-28	
002125.SZ	2007-04-03	
002126.SZ	2007-04-18	
002127.SZ	2007-04-18	
002128.SZ	2007-04-18	
002129.SZ	2007-04-20	
002130.SZ	2007-04-20	
002131.SZ	2007-04-27	
002132.SZ	2007-04-27	
002133.SZ	2007-04-27	
002135.SZ	2007-05-30	
002136.SZ	2007-05-30	
002137.SZ	2007-06-13	
002138.SZ	2007-06-13	
002139.SZ	2007-06-29	
002140.SZ	2007-07-12	
002142.SZ	2007-07-19	
002144.SZ	2007-08-03	
002145.SZ	2007-08-03	
002146.SZ	2007-08-08	
002148.SZ	2007-08-10	
002149.SZ	2007-08-10	
002150.SZ	2007-08-10	
002151.SZ	2007-08-13	
002152.SZ	2007-08-13	
002153.SZ	2007-08-13	
002154.SZ	2007-08-16	
002155.SZ	2007-08-16	
002156.SZ	2007-08-16	
002158.SZ	2007-08-17	
002159.SZ	2007-08-17	
002160.SZ	2007-08-21	
002161.SZ	2007-08-21	
002162.SZ	2007-08-23	
002163.SZ	2007-08-23	
002164.SZ	2007-08-23	
002165.SZ	2007-09-13	
002166.SZ	2007-09-13	
002167.SZ	2007-09-13	
002169.SZ	2007-09-19	
002170.SZ	2007-09-19	
002171.SZ	2007-09-21	
002172.SZ	2007-09-21	
002174.SZ	2007-09-25	
002178.SZ	2007-11-01	
002179.SZ	2007-11-01	
002180.SZ	2007-11-13	
002181.SZ	2007-11-16	
002182.SZ	2007-11-13	
002183.SZ	2007-11-13	
002184.SZ	2007-11-16	
002185.SZ	2007-11-20	
002186.SZ	2007-11-20	
002187.SZ	2007-11-22	
002189.SZ	2007-12-03	
002191.SZ	2007-12-05	
002195.SZ	2007-12-12	
002196.SZ	2007-12-12	
002201.SZ	2007-12-26	
002202.SZ	2007-12-26	
002203.SZ	2008-01-16	
002204.SZ	2008-01-16	
002205.SZ	2008-01-23	
002206.SZ	2008-01-23	
002208.SZ	2008-01-28	
002209.SZ	2008-01-30	
