k,组合数,单模型净收益均值,门槛净收益均值,门槛净收益最小,门槛净收益最大,回撤均值
1,3,0.14018978416977332,0.5391358131885902,0.10214372743747036,0.786188918694793,-0.38341332481829543
2,3,0.10305956902729223,0.4924724050923113,0.1669733876769104,0.7373451446881312,-0.4170151399281557
3,1,0.27529391766673594,0.7167337987812716,0.7167337987812716,0.7167337987812716,-0.3821342617646648
